Home_club,Away_club,Stadium,Tournament,Match_date,Match_time,Match fixed,Ticket only discount,Cat 1 quantitiy,Cat 1 price,Cat 2 quantity,Cat 2 price,Cat 3 quantity,Cat 3 price,Cat 4 quantity,Cat 4 price,Hotel price,Package,Description_English,available_before_days,id
Frankrijk,Oostenrijk,Stade De France,Nations League,22-9-2022,20:45,1,0,8,0,8,0,8,0,,,,0,"We offer tickets Frankrijk vs. Oostenrijk at Stade De France. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,1
België,Polen,Koning Boudewijnstadion,Nations League,8-6-2022,20:45,1,0,8,150,8,75,,,,,,0,"We offer tickets België vs. Polen at Koning Boudewijnstadion. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,2
België ,Wales,Koning Boudewijnstadion,Nations League,22-9-2022,20:45,1,0,8,0,8,0,,,,,,0,"We offer tickets België  vs. Wales at Koning Boudewijnstadion. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,3
Engeland vrouwen,Oostenrijk vrouwen,Old Trafford,Women's Euro England 2022,6-7-2022,20:00,1,0,8,115,8,85,8,65,,,,0,"We offer tickets Engeland vrouwen vs. Oostenrijk vrouwen at Old Trafford. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,4
Nederland vrouwen,Zweden vrouwen,Bramall Lane,Women's Euro England 2022,9-7-2022,20:00,1,0,8,45,8,35,8,25,,,,0,"We offer tickets Nederland vrouwen vs. Zweden vrouwen at Bramall Lane. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,5
Nederland vrouwen,Portugal vrouwen,Leigh Sports Village,Women's Euro England 2022,13-7-2022,20:00,1,0,8,45,8,35,8,25,,,,0,"We offer tickets Nederland vrouwen vs. Portugal vrouwen at Leigh Sports Village. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,6
Nederland vrouwen,Zwitserland vrouwen,Bramall Lane,Women's Euro England 2022,17-7-2022,17:00,1,0,8,45,8,35,8,25,,,,0,"We offer tickets Nederland vrouwen vs. Zwitserland vrouwen at Bramall Lane. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,7
Arsenal,Sevilla,Emirates Stadium,Emirates Cup,30-7-2022,12:30,1,0,8,0,8,0,,,,,,0,"We offer tickets Arsenal vs. Sevilla at Emirates Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,8
Finalist 1,Finalist 2,Wembley,Women's Euro England 2022,31-7-2022,16:00,1,0,8,0,8,0,8,0,,,,0,"We offer tickets Finalist 1 vs. Finalist 2 at Wembley. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,9
Borussia Monchengladbach,Real Sociedad,Borussia Park,Vriendschappelijke wedstrijden,23-7-2022,15:30,1,0,8,0,8,0,,,,,,0,"We offer tickets Borussia Monchengladbach vs. Real Sociedad at Borussia Park. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,10
Newcastle United,Atalanta,St James Park,Vriendschappelijke wedstrijden,29-7-2022,19:45,1,0,8,0,8,0,,,,,,0,"We offer tickets Newcastle United vs. Atalanta at St James Park. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,11
Newcastle United,Athletic de Bilbao,St James Park,Vriendschappelijke wedstrijden,30-7-2022,15:00,0,0,8,0,8,0,,,,,,0,"We offer tickets Newcastle United vs. Athletic de Bilbao at St James Park. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,12
VFL Wolfsburg,Brentford,Volkswagen Arena,Vriendschappelijke wedstrijden,23-7-2022,16:00,1,0,8,85,8,65,,,,,,0,"We offer tickets VFL Wolfsburg vs. Brentford at Volkswagen Arena. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,13
SL Benfica,Newcastle United,Estadio da Luz,Vriendschappelijke wedstrijden,26-7-2022,19:00,1,0,8,0,8,0,,,,,,0,"We offer tickets SL Benfica vs. Newcastle United at Estadio da Luz. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,14
FC Koln,AC Milan,RheinEnergieStadion,Vriendschappelijke wedstrijden,16-7-2022,19:00,1,0,8,85,8,75,,,,,,0,"We offer tickets FC Koln vs. AC Milan at RheinEnergieStadion. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,15
Nederland,Senegal,Al Thumama,WK 2022,21-11-2022,19:00,1,0,4,695,4,495,4,275,,,,0,"We offer tickets Nederland vs. Senegal at Al Thumama. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,16
Nederland,Ecuador,Khalifa International,WK 2022,25-11-2022,19:00,1,0,4,695,4,495,4,275,,,,0,"We offer tickets Nederland vs. Ecuador at Khalifa International. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,17
Nederland,Qatar,Al Bayt,WK 2022,29-11-2022,18:00,1,0,4,695,4,495,4,275,,,,0,"We offer tickets Nederland vs. Qatar at Al Bayt. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,18
Manchester United,Rayo Vallecano,Old Trafford,Vriendschappelijke wedstrijden,31-7-2022,16:00,1,0,8,95,8,85,8,75,,,,0,"We offer tickets Manchester United vs. Rayo Vallecano at Old Trafford. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,19
FC Barcelona,Club Universidad Nacional,Camp Nou,Joan Gamper Trophy,7-8-2022,20:00,1,0,8,155,8,125,8,95,8,70,,0,"We offer tickets FC Barcelona vs. Club Universidad Nacional at Camp Nou. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,20
Arsenal,Leicester City,Emirates Stadium,Premier League,13-8-2022,15:00,1,0,8,0,8,0,8,0,,,,0,"We offer tickets Arsenal vs. Leicester City at Emirates Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,21
Arsenal,Fulham,Emirates Stadium,Premier League,27-8-2022,17:30,1,0,4,0,4,0,4,0,,,,0,"We offer tickets Arsenal vs. Fulham at Emirates Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",3,22
Arsenal,Aston Villa,Emirates Stadium,Premier League,31-8-2022,19:30,1,0,8,295,8,105,8,85,,,,0,"We offer tickets Arsenal vs. Aston Villa at Emirates Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,23
Arsenal,Everton,Emirates Stadium,Premier League,11-9-2022,14:00,1,0,2,345,2,265,2,185,,,,0,"We offer tickets Arsenal vs. Everton at Emirates Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",3,24
Arsenal,Tottenham Hotspur,Emirates Stadium,Premier League,1-10-2022,12:30,1,0,8,0,8,0,8,0,,,,0,"We offer tickets Arsenal vs. Tottenham Hotspur at Emirates Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,25
Arsenal,Liverpool,Emirates Stadium,Premier League,9-10-2022,16:30,1,0,8,0,8,0,8,295,,,,0,"We offer tickets Arsenal vs. Liverpool at Emirates Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,26
Arsenal,Manchester City,Emirates Stadium,Premier League,19-10-2022,19:30,0,0,8,775,8,435,8,395,,,,0,"We offer tickets Arsenal vs. Manchester City at Emirates Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,27
Arsenal,Nottingham Forest,Emirates Stadium,Premier League,30-10-2022,14:00,1,0,8,0,8,0,8,0,,,,0,"We offer tickets Arsenal vs. Nottingham Forest at Emirates Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,28
Arsenal,West Ham United,Emirates Stadium,Premier League,26-12-2022,20:00,1,0,8,675,8,345,8,295,,,,0,"We offer tickets Arsenal vs. West Ham United at Emirates Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,29
Arsenal,Newcastle United,Emirates Stadium,Premier League,3-1-2023,20:00,1,0,8,675,8,475,8,285,,,,0,"We offer tickets Arsenal vs. Newcastle United at Emirates Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,30
Arsenal,Manchester United,Emirates Stadium,Premier League,22-1-2023,16:30,1,0,8,895,8,695,8,595,,,,0,"We offer tickets Arsenal vs. Manchester United at Emirates Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,31
Arsenal,Brentford,Emirates Stadium,Premier League,11-2-2023,15:00,0,0,8,495,8,355,8,315,,,,0,"We offer tickets Arsenal vs. Brentford at Emirates Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,32
Arsenal,AFC Bournemouth,Emirates Stadium,Premier League,4-3-2023,15:00,0,0,8,445,8,295,8,255,,,,0,"We offer tickets Arsenal vs. AFC Bournemouth at Emirates Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,33
Arsenal,Crystal Palace,Emirates Stadium,Premier League,18-3-2023,15:00,0,0,8,445,8,295,8,255,,,,0,"We offer tickets Arsenal vs. Crystal Palace at Emirates Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,34
Arsenal,Leeds United,Emirates Stadium,Premier League,1-4-2023,15:00,0,0,8,445,8,295,8,255,,,,0,"We offer tickets Arsenal vs. Leeds United at Emirates Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,35
Arsenal,Southampton,Emirates Stadium,Premier League,22-4-2023,15:00,0,0,8,445,8,295,8,255,,,,0,"We offer tickets Arsenal vs. Southampton at Emirates Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,36
Arsenal,Chelsea,Emirates Stadium,Premier League,29-4-2023,15:00,0,0,8,795,8,575,8,475,,,,0,"We offer tickets Arsenal vs. Chelsea at Emirates Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,37
Arsenal,Brighton & Hove Albion,Emirates Stadium,Premier League,13-5-2023,15:00,0,0,8,595,8,345,8,285,,,,0,"We offer tickets Arsenal vs. Brighton & Hove Albion at Emirates Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,38
Arsenal,Wolverhampton Wanderers,Emirates Stadium,Premier League,28-5-2023,16:00,0,0,8,895,8,595,8,495,,,,0,"We offer tickets Arsenal vs. Wolverhampton Wanderers at Emirates Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,39
Aston Villa,Everton,Villa Park,Premier League,13-8-2022,12:30,1,0,8,0,8,0,,,,,,0,"We offer tickets Aston Villa vs. Everton at Villa Park. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,40
Aston Villa,West Ham United,Villa Park,Premier League,28-8-2022,14:00,1,0,8,125,8,95,,,,,,0,"We offer tickets Aston Villa vs. West Ham United at Villa Park. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,41
Aston Villa,Manchester City,Villa Park,Premier League,3-9-2022,17:30,1,0,8,155,8,125,,,,,,0,"We offer tickets Aston Villa vs. Manchester City at Villa Park. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,42
Aston Villa,Southampton,Villa Park,Premier League,16-9-2022,20:00,1,0,8,145,8,95,,,,,,0,"We offer tickets Aston Villa vs. Southampton at Villa Park. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,43
Aston Villa,Chelsea,Villa Park,Premier League,16-10-2022,14:00,1,0,8,165,8,135,,,,,,0,"We offer tickets Aston Villa vs. Chelsea at Villa Park. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,44
Aston Villa,Brentford,Villa Park,Premier League,23-10-2022,14:00,1,0,8,125,8,95,,,,,,0,"We offer tickets Aston Villa vs. Brentford at Villa Park. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",3,45
Aston Villa,Manchester United,Villa Park,Premier League,6-11-2022,14:00,1,0,8,215,8,165,,,,,,0,"We offer tickets Aston Villa vs. Manchester United at Villa Park. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,46
Aston Villa,Liverpool,Villa Park,Premier League,26-12-2022,17:30,1,0,8,225,8,175,,,,,,0,"We offer tickets Aston Villa vs. Liverpool at Villa Park. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,47
Aston Villa,Wolverhampton Wanderers,Villa Park,Premier League,4-1-2023,20:00,1,0,8,155,8,125,,,,,,0,"We offer tickets Aston Villa vs. Wolverhampton Wanderers at Villa Park. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,48
Aston Villa,Leeds United,Villa Park,Premier League,13-1-2023,20:00,1,0,8,155,8,125,,,,,,0,"We offer tickets Aston Villa vs. Leeds United at Villa Park. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,49
Aston Villa,Leicester City,Villa Park,Premier League,4-2-2023,15:00,0,0,8,145,8,95,,,,,,0,"We offer tickets Aston Villa vs. Leicester City at Villa Park. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,50
Aston Villa,Arsenal,Villa Park,Premier League,18-2-2023,15:00,0,0,8,185,8,145,,,,,,0,"We offer tickets Aston Villa vs. Arsenal at Villa Park. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,51
Aston Villa,Crystal Palace,Villa Park,Premier League,4-3-2023,15:00,0,0,8,125,8,95,,,,,,0,"We offer tickets Aston Villa vs. Crystal Palace at Villa Park. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,52
Aston Villa,AFC Bournemouth,Villa Park,Premier League,18-3-2023,15:00,0,0,8,165,8,125,,,,,,0,"We offer tickets Aston Villa vs. AFC Bournemouth at Villa Park. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,53
Aston Villa,Nottingham Forest,Villa Park,Premier League,8-4-2023,15:00,0,0,8,175,8,145,,,,,,0,"We offer tickets Aston Villa vs. Nottingham Forest at Villa Park. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,54
Aston Villa,Newcastle United,Villa Park,Premier League,15-4-2023,15:00,0,0,8,155,8,125,,,,,,0,"We offer tickets Aston Villa vs. Newcastle United at Villa Park. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,55
Aston Villa,Fulham,Villa Park,Premier League,25-4-2023,20:00,0,0,8,155,8,125,,,,,,0,"We offer tickets Aston Villa vs. Fulham at Villa Park. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,56
Aston Villa,Tottenham Hotspur,Villa Park,Premier League,13-5-2023,15:00,0,0,8,215,8,175,,,,,,0,"We offer tickets Aston Villa vs. Tottenham Hotspur at Villa Park. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,57
Aston Villa,Brighton & Hove Albion,Villa Park,Premier League,28-5-2023,16:00,0,0,8,175,8,145,,,,,,0,"We offer tickets Aston Villa vs. Brighton & Hove Albion at Villa Park. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,58
Brentford,Manchester United,Brentford Community Stadium,Premier League,13-8-2022,17:30,1,0,4,0,4,0,,,,,,0,"We offer tickets Brentford vs. Manchester United at Brentford Community Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,59
Brentford,Everton,Brentford Community Stadium,Premier League,27-8-2022,15:00,1,0,4,125,4,105,,,,,,0,"We offer tickets Brentford vs. Everton at Brentford Community Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,60
Brentford,Leeds United,Brentford Community Stadium,Premier League,3-9-2022,15:00,1,0,4,225,4,185,,,,,,0,"We offer tickets Brentford vs. Leeds United at Brentford Community Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",3,61
Brentford,Arsenal,Brentford Community Stadium,Premier League,18-9-2022,14:00,1,0,4,0,4,0,,,,,,0,"We offer tickets Brentford vs. Arsenal at Brentford Community Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,62
Brentford,Brighton & Hove Albion,Brentford Community Stadium,Premier League,14-10-2022,20:00,1,0,2,0,2,0,,,,,,0,"We offer tickets Brentford vs. Brighton & Hove Albion at Brentford Community Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,63
Brentford,Chelsea,Brentford Community Stadium,Premier League,19-10-2022,19:30,1,0,4,0,4,0,,,,,,0,"We offer tickets Brentford vs. Chelsea at Brentford Community Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,64
Brentford,Wolverhampton Wanderers,Brentford Community Stadium,Premier League,29-10-2022,15:00,1,0,4,0,4,0,,,,,,0,"We offer tickets Brentford vs. Wolverhampton Wanderers at Brentford Community Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,65
Brentford,Tottenham Hotspur,Brentford Community Stadium,Premier League,26-12-2022,12:30,1,0,4,0,4,0,,,,,,0,"We offer tickets Brentford vs. Tottenham Hotspur at Brentford Community Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,66
Brentford,Liverpool,Brentford Community Stadium,Premier League,2-1-2023,17:30,1,0,4,0,4,0,,,,,,0,"We offer tickets Brentford vs. Liverpool at Brentford Community Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,67
Brentford,AFC Bournemouth,Brentford Community Stadium,Premier League,14-1-2023,17:30,1,0,4,185,4,155,,,,,,0,"We offer tickets Brentford vs. AFC Bournemouth at Brentford Community Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,68
Brentford,Southampton,Brentford Community Stadium,Premier League,4-2-2023,15:00,0,0,4,185,4,155,,,,,,0,"We offer tickets Brentford vs. Southampton at Brentford Community Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,69
Brentford,Crystal Palace,Brentford Community Stadium,Premier League,18-2-2023,15:00,0,0,4,215,4,175,,,,,,0,"We offer tickets Brentford vs. Crystal Palace at Brentford Community Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,70
Brentford,Fulham,Brentford Community Stadium,Premier League,4-3-2023,15:00,0,0,4,295,4,255,,,,,,0,"We offer tickets Brentford vs. Fulham at Brentford Community Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,71
Brentford,Leicester City,Brentford Community Stadium,Premier League,18-3-2023,15:00,0,0,4,195,4,165,,,,,,0,"We offer tickets Brentford vs. Leicester City at Brentford Community Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,72
Brentford,Newcastle United,Brentford Community Stadium,Premier League,8-4-2023,15:00,0,0,4,195,4,165,,,,,,0,"We offer tickets Brentford vs. Newcastle United at Brentford Community Stadium. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,73
