Home_club,Away_club,Stadium,Tournament,Match_date,Match_time,Match fixed,Ticket only discount,Cat 1 quantitiy,Cat 1 price,Cat 2 quantity,Cat 2 price,Cat 3 quantity,Cat 3 price,Cat 4 quantity,Cat 4 price,Hotel price,Package,Description_English,available_before_days,id
AS Roma,Hellas Verona,Stadio Olimpico,Serie A,19-2-2023,20:45,1,0,8,135,8,95,8,75,,,,0,"We offer tickets AS Roma vs. Hellas Verona at Stadio Olimpico. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,662
AS Roma,Juventus,Stadio Olimpico,Serie A,5-3-2023,20:45,1,0,8,295,8,235,8,195,,,,0,"We offer tickets AS Roma vs. Juventus at Stadio Olimpico. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,663
AS Roma,US Sassuolo,Stadio Olimpico,Serie A,12-3-2023,18:00,1,0,8,135,8,95,8,75,,,,0,"We offer tickets AS Roma vs. US Sassuolo at Stadio Olimpico. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,664
AS Roma,Sampdoria,Stadio Olimpico,Serie A,2-4-2023,18:00,1,0,8,135,8,95,8,75,,,,0,"We offer tickets AS Roma vs. Sampdoria at Stadio Olimpico. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,665
AS Roma,Udinese,Stadio Olimpico,Serie A,16-4-2023,17:00,0,0,8,155,8,115,8,85,,,,0,"We offer tickets AS Roma vs. Udinese at Stadio Olimpico. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,666
AS Roma,AC Milan,Stadio Olimpico,Serie A,30-4-2023,17:00,0,0,8,255,8,195,8,155,,,,0,"We offer tickets AS Roma vs. AC Milan at Stadio Olimpico. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,667
AS Roma,Internazionale,Stadio Olimpico,Serie A,7-5-2023,17:00,0,0,8,255,8,195,8,155,,,,0,"We offer tickets AS Roma vs. Internazionale at Stadio Olimpico. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,668
AS Roma,Salernitana,Stadio Olimpico,Serie A,21-5-2023,17:00,0,0,8,165,8,125,8,95,,,,0,"We offer tickets AS Roma vs. Salernitana at Stadio Olimpico. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,669
AS Roma,Spezia,Stadio Olimpico,Serie A,4-6-2023,17:00,0,0,8,165,8,125,8,95,,,,0,"We offer tickets AS Roma vs. Spezia at Stadio Olimpico. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,670
Internazionale,Spezia,San Siro,Serie A,20-8-2022,20:45,1,0,8,175,8,110,8,75,,,,0,"We offer tickets Internazionale vs. Spezia at San Siro. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",3,671
Internazionale,U.S. Cremonese,San Siro,Serie A,30-8-2022,20:45,1,0,8,175,8,110,8,75,,,,0,"We offer tickets Internazionale vs. U.S. Cremonese at San Siro. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,672
Internazionale,Torino,San Siro,Serie A,10-9-2022,18:00,1,0,8,175,8,110,8,75,,,,0,"We offer tickets Internazionale vs. Torino at San Siro. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",3,673
